InteractorA,InteractorB
P31937,Q08AM2
P31937,Q6RW13
P31937,Q9NVV5
P31937,Q99218
P31937,Q92482
P31937,P07306
P31937,O14523
P31937,O95674
P31937,Q6UVW9
P31937,Q96FZ5
P31937,Q6PI25
P31937,P21964
P31937,P52803
P31937,Q7Z2K6
P31937,O14653
P31937,P21145
P31937,Q9NX14
P31937,P09466
P31937,P26678
P31937,O60831
P31937,Q13635
P31937,Q5QGT7
P31937,Q14108
P31937,O75396
P31937,O95562
P31937,Q6UX34
P31937,P02786
P31937,Q9BZW4
P31937,Q9NUH8
P31937,Q9H0R3
P31937,Q9H2L4
P31937,Q8N661
P31937,Q9Y5Z9
P31937,P63027
P31937,O95183
P31937,O95159
P61981,P00519
P61981,Q92934
P61981,P30305
P61981,Q9HC77
P61981,O14757
P61981,Q9NYF3
P61981,P56524
P61981,Q14678
P61981,Q02241
P61981,Q5S007
P61981,Q99759
P61981,Q7KZI7
P61981,P27448
P61981,O15151
P61981,Q5HYW2
P61981,P26045
P61981,P04049
P61981,P31947
P61981,Q9BSI4
P61981,P04637
P61981,P31946
P61981,P62258
P61981,P27348
Q8WXA8,P46098
P29274,P30542
P29274,P29275
P29274,O15155
P29274,P21554
P29274,Q99418
P29274,P14416
P29274,O15354
P29274,Q7Z6G3
P29274,O43759
P29274,Q13107
P52594,Q9P242
P52594,P56282
P52594,P51809
Q9H0C2,P60410
Q9UKV8,Q9UL18
Q9UKV8,Q9UIV1
Q9UKV8,P26196
Q9UKV8,Q96C10
Q9UKV8,Q9UPY3
Q9UKV8,Q9UPY3
Q9UKV8,P00533
Q9UKV8,Q13541
Q9UKV8,Q02790
Q9UKV8,Q9BVP2
Q9UKV8,O15397
Q9UKV8,Q9UGP4
Q9UKV8,Q5S007
Q9UKV8,Q86UE4
Q9UKV8,Q6IQ23
Q9UKV8,O75569
Q9UKV8,P04156
Q9UKV8,Q15185
Q9UKV8,P63244
Q9UKV8,P06400
Q9UKV8,Q15633
Q9UKV8,Q9UHD2
Q9UKV8,A7MCY6
Q9UKV8,Q8NDV7
Q9UKV8,Q9UPQ9
Q9UKV8,Q9UPQ9
Q9UKV8,Q9HCJ0
Q9UKV8,Q9HA38
Q8NFM4,Q9BV19
Q8NFM4,P62508
Q8NFM4,P37231
Q8NFM4,Q9BYV2
Q8NFM4,Q5W5X9
Q8TD06,Q10567
Q8TD06,Q8NEC5
Q8TD06,P15529
Q8TD06,Q99675
Q8TD06,Q8NE01
Q8TD06,Q6ICB0
Q8TD06,Q9HAV5
Q8TD06,O75477
Q8TD06,Q14802
Q8TD06,Q8IUC1
Q8TD06,Q9H400
Q8TD06,O15116
Q8TD06,Q8N4V1
Q8TD06,Q8IXM6
Q8TD06,P37198
Q8TD06,Q13113
Q8TD06,O60831
Q8TD06,O43765
Q8TD06,Q96EQ0
Q8TD06,O43278
Q8TD06,Q9NPL8
Q8TD06,Q9NUH8
Q8TD06,Q9UMX0
Q8TD06,Q9UMX0
Q8TD06,Q9UHD9
Q8TD06,Q96HA8
Q9BVK2,Q13323
Q9BVK2,P58418
Q9BVK2,O43889
Q9BVK2,Q96BA8
Q9BVK2,P00387
Q9BVK2,Q5JX71
Q9BVK2,Q8TED1
Q9BVK2,Q6ZSS7
Q9BVK2,Q9NR31
Q8N8V4,Q5S007
Q8N8V4,Q9Y6N9
Q12955,O00203
Q12955,Q15742
Q12955,Q15796
Q9NZN5,P08069
Q9NZN5,Q96PX9
Q9NZN5,P61586
Q96LA8,Q6P047
Q96LA8,Q9BXL8
Q96LA8,Q96EY1
Q96LA8,O14645
Q96LA8,Q9BQS8
Q96LA8,Q8TE85
Q96LA8,Q8NEC7
Q96LA8,Q9BX10
Q96LA8,Q9UBX0
Q96LA8,P17096
Q96LA8,P52926
Q96LA8,Q9HAQ2
Q96LA8,Q9Y2M5
Q96LA8,Q96JB6
Q96LA8,Q9H204
Q96LA8,Q14995
Q96LA8,P00973
Q96LA8,Q86SE9
Q96LA8,O00231
Q96LA8,P50749
Q96LA8,Q9UGK8
Q96LA8,O15198
Q96LA8,Q96H20
Q96LA8,Q96BD6
Q96LA8,Q9Y365
Q96LA8,Q8N1K5
Q96LA8,Q9Y3A6
P39687,O15169
P39687,Q66K89
P39687,P67775
P05026,P30556
P05026,P05023
P05026,Q8IZU9
P05026,P02730
P51451,P10275
P51451,Q13490
P51451,P46109
P51451,O43281
P51451,O43281
P51451,P00533
P51451,Q96Q35
P51451,P51114
P51451,P51116
P51451,Q13480
P51451,Q13322
P51451,O75031
P51451,P08238
P51451,Q9UKT9
P51451,Q96N16
P51451,P10721
P51451,Q9UJV3
P51451,Q9NRD5
P51451,P27986
P51451,Q92569
