InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
P00533	P00533	"intact, Dip, Biogrid, Hprd"	1	1	62	"16777603, 19563760, 21480528, 20029029, 22579287, 23374349, 22232519, 24135280, 20359299, 19650109, 23436906, 18427122, 17148612, 18042729, 21482778, 20007378, 23636329, 23273428, 14576349, 19225046, 18271526, 23956138, 23972990, 24797263, 8870675, 12297049, 12297050, 12620237, 25453753, 2732223, 23794705, 21775422, 23595626, 20456371, 28065597, 24077285, 11087732, 6321473, 2915986, 19560417, 9092812, 9815748, 8057149, 23583406, 8665853, 1429858, 25315821, 8816440, 10347170, 7527393, 12795333, 12354760, 11279102, 12397069, 12009895, 8940083, 11114724, 8845374, 11983694, 9363897, 10635327, 16274239"
P62993	P00533	"intact, mint, Dip, Biogrid, Hprd"	1	1	60	"12577067, 14679214, 8887653, 7527043, 16729043, 15657067, 16273093, 7518560, 16799092, 8940013, 9020117, 10229072, 11896612, 21706016, 23178716, 24189400, 23799367, 24658140, 27059931, 1322798, 11960376, 10085134, 9050991, 8647858, 7510700, 10026169, 17971399, 17242169, 20124286, 19531499, 21596750, 9886492, 19836242, 9416834, 11408594, 10595738, 7592693, 19289468, 18271526, 8662998, 23956138, 7506413, 24797263, 11370743, 25402006, 7650032, 8810340, 20473329, 19254954, 8665853, 8621459, 25187647, 8626525, 20067773, 9685397, 9020193, 30544639, 25754235, 11726515, 8810325"
Q15149	P00533	Hprd	2	2	1	12577067
A7KAX9	P00533	Biogrid	2	2	1	12446789
O00206	P00533	mint	2	2	1	17126326
O00213	P00533	"mint, Biogrid"	1	1	1	16273093
O00291	P00533	Biogrid	2	2	2	"17440072, 23836884"
O00401	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
O14512	P00533	Hprd	2	2	1	9344857
O14522	P00533	"mint, Biogrid"	1	1	1	28065597
O14544	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
O14818	P00533	"intact, Biogrid"	1	1	1	20029029
O14944	P00533	"Biogrid, Hprd"	2	2	1	9419975
O14964	P00533	"Dip, Biogrid, Hprd"	1	1	8	"20308550, 18508924, 15212941, 23153581, 23602387, 23477725, 25588945, 12953068"
O14965	P00533	intact	1	1	1	23520446
O15121	P00533	Hprd	1	1	1	9188692
O15162	P00533	"Biogrid, Hprd"	2	2	2	"12009895, 12871937"
