Organism_ID,CAIR,Organism,Second_hierarchy,code
17.0,0.9308925608956468,Methylophilus methylotrophus (Bacterium W3A1),Proteobacteria,1
23.0,0.9311771066783393,Shewanella colwelliana (Alteromonas colwelliana) (Strain: CSB03KR),Proteobacteria,1
24.0,0.9300323746318337,Shewanella putrefaciens (Pseudomonas putrefaciens) (Strain: NCTC10737),Proteobacteria,1
25.0,0.9317681796199536,Shewanella hanedai (Alteromonas hanedai) (Strain: JCM 20706),Proteobacteria,1
33.0,0.9052074012926287,Myxococcus fulvus (Strain: NBRC 100333),Proteobacteria,1
34.0,0.9049268189732671,Myxococcus xanthus (Strain: KF3.2.8c11),Proteobacteria,1
41.0,0.9078095644254899,Stigmatella aurantiaca (Strain: DSM 17044),Proteobacteria,1
43.0,0.9087804888982081,Cystobacter fuscus (Strain: DSM 52655),Proteobacteria,1
48.0,0.9089826363330029,Archangium gephyra (Strain: DSM 2261),Proteobacteria,1
52.0,0.9025826325189195,Chondromyces crocatus (Strain: Cm c5),Proteobacteria,1
54.0,0.9001484372550671,Nannocystis exedens (Strain: ATCC 25963),Proteobacteria,1
56.0,0.8997327368972126,Sorangium cellulosum (Polyangium cellulosum) (Strain: So ceGT47),Proteobacteria,1
63.0,0.9138420366750462,Vitreoscilla filiformis (Strain: ATCC 15551),Proteobacteria,1
69.0,0.9026401318538926,Lysobacter enzymogenes (Strain: M497-1),Proteobacteria,1
82.0,0.9160484883078192,Hyphomicrobium sp.,Proteobacteria,1
87.0,0.920823753226093,Hyphomonas sp.,Proteobacteria,1
94.0,0.9004246839292352,Stella humosa (Strain: DSM 5900),Proteobacteria,1
100.0,0.9046080234574817,Ancylobacter aquaticus (Strain: DSM 101),Proteobacteria,1
102.0,0.9235294173263499,Polaribacter glomeratus (Strain: ATCC 43844),Bacteroidetes,31
114.0,0.9097510075548092,Gemmata obscuriglobus (Strain: DSM 5831),Planctomycetes,13
122.0,0.9342036404497684,Gimesia maris,Planctomycetes,13
124.0,0.9307034025652836,Blastopirellula marina (Strain: Nap-Phe MGV),Planctomycetes,13
140.0,0.9104274244175687,Borrelia hermsii (Strain: DAH-2E7),Spirochaetes,4
142.0,0.9098245793995929,Borrelia turicatae (Strain: BTE5EL),Spirochaetes,4
159.0,0.9157045467530112,Brachyspira hyodysenteriae (Treponema hyodysenteriae) (Strain: BH718),Spirochaetes,4
160.0,0.9277860243395927,Treponema pallidum (Strain: UW-148B2),Spirochaetes,4
162.0,0.9289002198910743,Treponema phagedenis (Strain: B36.5),Spirochaetes,4
163.0,0.9324362026713173,Treponema bryantii (Strain: XBD1002),Spirochaetes,4
166.0,0.9297148581453268,Treponema sp.,Spirochaetes,4
172.0,0.928809465633875,Leptospira biflexa (Strain: 201601960),Spirochaetes,4
173.0,0.9261796078141292,Leptospira interrogans (Strain: FMAS_AW1),Spirochaetes,4
178.0,0.9258854255428417,Leptospira sp.,Spirochaetes,4
192.0,0.9028987381697982,Azospirillum brasilense (Strain: BR 11005),Proteobacteria,1
193.0,0.9035716992793237,Azospirillum lipoferum (Strain: 59b),Proteobacteria,1
195.0,0.9172607506979819,Campylobacter coli (Strain: PNUSAC005705),Proteobacteria,1
196.0,0.9184189965279553,Campylobacter fetus (Strain: D5375),Proteobacteria,1
