Entry,Cellular_organisms,Euk_Archaea,Euk+Bac,Eukaryota,Opisthokonta,Eumetazoa,Vertebrata,Mammalia,modeAge,NumDBsContributing,NumDBsFiltered,entropy,NodeError,Bimodality,HGT_flag
A0A075B6G5,0,0,0,0,0,1,0,0,Eumetazoa,1,1,0,6,,FALSE
A0A075B6R3,0,0,0,0,0,0,0,1,Mammalia,2,1,0,10.66666667,16,FALSE
A0A0A0MR89,0,0,0,0,0,1,0,0,Eumetazoa,1,1,0,1,,FALSE
A0A0A0MS98,0,0,0,0,0,0.454545455,0,0.545454545,Mammalia,11,1,0.689009238,5.681818182,1.8,FALSE
A0A0A0MSJ3,0,0,0,1,0,0,0,0,Eukaryota,2,0,0,1,,FALSE
A0A0A0MSL8,0,0,0,1,0,0,0,0,Eukaryota,2,8,0,4.177777778,0.511904762,FALSE
A0A0A0MTC1,0,0,0,0,0,1,0,0,Eumetazoa,1,1,0,4,,FALSE
A0A0A6YYJ5,0,0,0.142857143,0,0.142857143,0.428571429,0,0.285714286,Eumetazoa,7,1,1.277034259,6.75,-0.145833333,FALSE
A0A0B4J1T7,0,0,0,0,0,0,0,1,Mammalia,10,0,0,0.2,0,FALSE
A0A0B4J1V8,0,0,0,0.8,0,0,0,0.2,Eukaryota,10,3,0.500402424,6.769230769,4.833333333,FALSE
A0A0B4J207,0.714285714,0,0.285714286,0,0,0,0,0,Cellular_organisms,7,2,0.598269589,0.222222222,0.454545455,FALSE
A0A0C4DGB4,0,0,0,0,0.666666667,0.333333333,0,0,Opisthokonta,3,7,0.636514168,6.622222222,-0.261904762,FALSE
A0A0C4DH55,0,0,0,0,1,0,0,0,Opisthokonta,3,4,0,6.285714286,1.745454545,FALSE
A0A0C4DH77,0,0,0,0,0,0,0,1,Mammalia,2,0,0,0,,FALSE
A0A183,0,0,0,0,0,0,0,1,Mammalia,7,0,0,0,0,FALSE
A0A5B9,0,0,0,0,0,0,0.833333333,0.166666667,Vertebrata,6,1,0.450561209,1.238095238,0.5,FALSE
A0AUP3,0,0,0,0,0,0,0,1,Mammalia,9,0,0,0,0,FALSE
A0AUZ9,0,0,0,0,0,0.615384615,0.307692308,0.076923077,Eumetazoa,13,0,0.858740913,2.897435897,0.428571429,FALSE
A0AV02,0,0.5,0,0,0,0.5,0,0,Eumetazoa,8,5,0.693147181,2.769230769,1.428571429,FALSE
A0AV96,0,0,0.166666667,0.833333333,0,0,0,0,Eukaryota,6,7,0.450561209,4.769230769,7,FALSE
A0AVF1,0,0,0,1,0,0,0,0,Eukaryota,12,1,0,0.307692308,-0.047619048,FALSE
A0AVI2,0,0,0,0.2,0,0.3,0,0.5,Mammalia,10,3,1.029653014,5.794871795,7.202380952,FALSE
A0AVI4,0,0,0,0,0.153846154,0.846153846,0,0,Eumetazoa,13,0,0.429323022,0.282051282,0.007936508,FALSE
A0AVK6,0,0,0,0.7,0,0,0.3,0,Eukaryota,10,3,0.610864302,4.512820513,2.861111111,FALSE
A0AVT1,0,0,0.2,0.8,0,0,0,0,Eukaryota,5,8,0.500402424,2.487179487,0.337301587,FALSE
A0FGR8,0,0,0,0.428571429,0,0.428571429,0.142857143,0,Eumetazoa,7,6,1.004242473,3.615384615,3.98015873,FALSE
A0FGR9,0,0,0,0.555555556,0.111111111,0,0.333333333,0,Eukaryota,9,4,0.936888308,4,2.373015873,FALSE
A0JLT2,0,0,0,0,0,1,0,0,Eumetazoa,11,2,0,1.41025641,-0.166666667,FALSE
A0JNW5,0,0,0,0.25,0,0.416666667,0.333333333,0,Eumetazoa,12,1,1.077556327,3.692307692,2.936507937,FALSE
A0M8Q6,0,0,0,0,0,0,1,0,Vertebrata,8,1,0,2.277777778,-0.454545455,FALSE
A0MZ66,0,0,0,0.166666667,0,0.75,0.083333333,0,Eumetazoa,12,1,0.721463687,2.846153846,0.591269841,FALSE
A0PG75,0,0,0,0.333333333,0,0.333333333,0,0.333333333,Mammalia,9,4,1.098612289,5.384615385,5.202380952,FALSE
A0PJE2,0.076923077,0.076923077,0.153846154,0.692307692,0,0,0,0,Eukaryota,13,0,0.937155853,1.358974359,0.76984127,TRUE
A0PJK1,0.428571429,0,0.571428571,0,0,0,0,0,Euk+Bac,7,5,0.682908105,6.151515152,1.377777778,TRUE
A0PJW6,0,0,0,0,0.230769231,0.769230769,0,0,Eumetazoa,13,0,0.540204142,0.384615385,-0.05952381,FALSE
A0PJW8,0,0,0,0,0,0.75,0.25,0,Eumetazoa,4,9,0.562335145,2.051282051,0.146825397,FALSE
A0PJX0,0,0,0,0.571428571,0,0.142857143,0,0.285714286,Eukaryota,7,6,0.955699891,5.897435897,2.801587302,FALSE
A0PJX2,0,0,0,0.8,0.1,0,0.1,0,Eukaryota,10,3,0.63903186,2.512820513,1.158730159,FALSE
A0PJX4,0,0,0,0,0,0.3,0.7,0,Vertebrata,10,3,0.610864302,0.769230769,0.19047619,FALSE
A0PJX8,0,0,0,0,0,0,1,0,Vertebrata,11,0,0,0,0,FALSE
A0PJY2,0,0,0,0,0.166666667,0.833333333,0,0,Eumetazoa,6,7,0.450561209,2.794871795,0.650793651,FALSE
A0PJZ3,0,0,0,0.2,0.4,0.4,0,0,Opisthokonta,5,8,1.054920168,3.076923077,1.587301587,FALSE
A0PK00,0,0,0,0.727272727,0,0.090909091,0.181818182,0,Eukaryota,11,2,0.759547391,3.666666667,3.611111111,FALSE
A0PK05,0,0,0,0,0,0.636363636,0.363636364,0,Eumetazoa,11,0,0.655481774,2.4,0.293333333,FALSE
A0PK11,0,0,0,0,0,0.5,0.5,0,Eumetazoa,10,3,0.693147181,1.871794872,0.071428571,FALSE
A0ZSE6,0,0,0,0.181818182,0,0,0.090909091,0.727272727,Mammalia,11,1,0.759547391,6.939393939,0.866666667,FALSE
A1A4F0,0,0,0,0.428571429,0.571428571,0,0,0,Opisthokonta,7,0,0.682908105,1.714285714,-0.409090909,FALSE
A1A4G5,0,0,0,0,0,0,1,0,Vertebrata,10,0,0,0,0,FALSE
A1A4S6,0,0,0,0.25,0,0,0.75,0,Vertebrata,4,9,0.562335145,3.666666667,2.94047619,FALSE
A1A4T8,0,0,0,0,0,0,0,1,Mammalia,3,0,0,0,0,FALSE
A1A4V9,0,0,0,0.727272727,0,0.272727273,0,0,Eukaryota,11,0,0.585952618,3.054545455,-0.046666667,FALSE
A1A4Y4,0,0,0,0,0,0.625,0.25,0.125,Eumetazoa,8,2,0.900256051,3.422222222,1.416666667,FALSE
A1A519,0,0,0,0,0,0,0,1,Mammalia,10,0,0,0.888888889,0.16,FALSE
A1A580,0,0,0,0,0,0,0,1,Mammalia,9,0,0,0,0,FALSE
A1A5B4,0,0,0,0.625,0,0,0.375,0,Eukaryota,8,5,0.661563238,4.666666667,2.26984127,FALSE
A1A5C7,0,0,0,0.5,0,0,0.5,0,Eukaryota,4,9,0.693147181,3.769230769,1.119047619,FALSE
A1A5D9,0,0,0,0,0,1,0,0,Eumetazoa,6,7,0,4.076923077,0.607142857,FALSE
A1E959,0,0,0,0,0,0,0,1,Mammalia,12,0,0,0,0,FALSE
A1IGU5,0,0,0,0.090909091,0.454545455,0.181818182,0.272727273,0,Opisthokonta,11,2,1.240684292,3.230769231,1.924603175,FALSE
A1KXE4,0,0,0,0,0,0.090909091,0.909090909,0,Vertebrata,11,1,0.304636097,1.272727273,0.133333333,FALSE
A1KZ92,0,0,1,0,0,0,0,0,Euk+Bac,5,6,0,8.181818182,8.546666667,FALSE
A1L020,0,0,0,0,0,0.363636364,0.636363636,0,Vertebrata,11,2,0.655481774,1.948717949,0.678571429,FALSE
A1L0T0,0.307692308,0.076923077,0.615384615,0,0,0,0,0,Euk+Bac,13,0,0.858740913,0.153846154,-0.023809524,TRUE
A1L157,0,0,0,0.111111111,0,0.777777778,0.111111111,0,Eumetazoa,9,4,0.683738906,3.256410256,1.611111111,FALSE
A1L162,0,0,0,0,0,0.6,0,0.4,Eumetazoa,10,1,0.673011667,4.472727273,-0.013333333,FALSE
A1L167,0,0,0,0.545454545,0.454545455,0,0,0,Eukaryota,11,2,0.689009238,2,-0.206349206,FALSE
A1L168,0,0,0,0,0,0.1,0,0.9,Mammalia,10,1,0.325082973,3.636363636,1.68,FALSE
A1L170,0,0,0,0,0,0,0.2,0.8,Mammalia,10,1,0.500402424,2.436363636,0.506666667,FALSE
A1L188,0,0,0,0,0,0,0,1,Mammalia,10,0,0,0,0,FALSE
A1L190,0,0,0,0,0,0,0.545454545,0.454545455,Vertebrata,11,0,0.689009238,3.272727273,-0.16,FALSE
A1L390,0,0,0,0.2,0.6,0,0.2,0,Opisthokonta,5,8,0.950270539,3.512820513,1.726190476,FALSE
A1L3X0,0,0,0,0.5,0.083333333,0.25,0.166666667,0,Eukaryota,12,0,1.198849313,4.106060606,2.455555556,FALSE
A1L3X4,0,0,0,0,0,0,0.6,0.4,Vertebrata,5,3,0.673011667,4.214285714,2.123076923,FALSE
A1L429,0,0,0,0,0,0,0,1,Mammalia,1,4,0,1.2,0.5,FALSE
A1L443,0,0,0,0,0,0,0,1,Mammalia,7,1,0,1.892857143,3.395833333,FALSE
A1L453,0,0,0,0,0,0.75,0,0.25,Eumetazoa,4,8,0.562335145,5.803030303,5.2,FALSE
A1L4H1,0,0,0,0.1,0,0.4,0,0.5,Mammalia,10,2,0.943348392,6.348484848,1.922222222,FALSE
A1L4K1,0,0,0,0,0,0.181818182,0.818181818,0,Vertebrata,11,1,0.474139313,2.090909091,0.533333333,FALSE
A1L4L8,0,0,0,0.4,0,0.1,0.4,0.1,Vertebrata,10,3,1.193549604,5.487179487,3.380952381,FALSE
A1X283,0,0,0,0,1,0,0,0,Opisthokonta,5,8,0,2.846153846,1.984126984,FALSE
A1XBS5,0,0,0,0,0,1,0,0,Eumetazoa,12,1,0,1.128205128,0.28968254,FALSE
A1YPR0,0,0,0,0.2,0,0.8,0,0,Eumetazoa,5,8,0.500402424,3.435897436,0.80952381,FALSE
A1Z1Q3,0.888888889,0,0,0,0,0,0,0.111111111,Cellular_organisms,9,4,0.348832096,7.256410256,5.376984127,TRUE
A2A288,0,0,0,0.090909091,0,0.636363636,0,0.272727273,Eumetazoa,11,2,0.859967281,4.871794872,4.817460317,FALSE
A2A2V5,0,0,0,0,0,0,0.9,0.1,Vertebrata,10,0,0.325082973,0.6,0,FALSE
A2A2Y4,0,0,0,0,1,0,0,0,Opisthokonta,2,11,0,2.205128205,2.031746032,FALSE
