Proteome ID	Organism	Organism ID	Taxonomic lineage
UP000001940	Caenorhabditis elegans (Strain: Bristol N2)	6239	"Eukaryota, Metazoa, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Rhabditina, Rhabditomorpha, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis"
UP000006548	Arabidopsis thaliana (Mouse-ear cress) (Strain: cv. Columbia)	3702	"Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliopsida, eudicotyledons, Gunneridae, Pentapetalae, rosids, malvids, Brassicales, Brassicaceae, Camelineae, Arabidopsis"
UP000426265	Arabidopsis thaliana (Mouse-ear cress)	3702	"Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliopsida, eudicotyledons, Gunneridae, Pentapetalae, rosids, malvids, Brassicales, Brassicaceae, Camelineae, Arabidopsis"
UP000078284	Arabidopsis thaliana (Mouse-ear cress) (Strain: cv. Landsberg erecta)	3702	"Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliopsida, eudicotyledons, Gunneridae, Pentapetalae, rosids, malvids, Brassicales, Brassicaceae, Camelineae, Arabidopsis"
UP000006906	Chlamydomonas reinhardtii (Chlamydomonas smithii) (Strain: CC-503)	3055	"Eukaryota, Viridiplantae, Chlorophyta, core chlorophytes, Chlorophyceae, Chlamydomonadales, Chlamydomonadaceae, Chlamydomonas"
UP000007875	Ciona savignyi (Pacific transparent sea squirt)	51511	"Eukaryota, Metazoa, Chordata, Tunicata, Ascidiacea, Enterogona, Phlebobranchia, Cionidae, Ciona"
UP000000437	Danio rerio (Zebrafish) (Brachydanio rerio) (Strain: Tuebingen)	7955	"Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Actinopterygii, Neopterygii, Teleostei, Ostariophysi, Cypriniformes, Cyprinidae, Danio"
UP000000803	Drosophila melanogaster (Fruit fly) (Strain: Berkeley)	7227	"Eukaryota, Metazoa, Ecdysozoa, Arthropoda, Hexapoda, Insecta, Pterygota, Neoptera, Holometabola, Diptera, Brachycera, Muscomorpha, Ephydroidea, Drosophilidae, Drosophila, Sophophora"
UP000000625	Escherichia coli (strain K12) (Strain: K12 / MG1655 / ATCC 47076)	83333	"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia"
UP000000318	Escherichia coli (strain K12) (Strain: K12 / W3110 / ATCC 27325 / DSM 5911)	83333	"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia"
UP000307542	Escherichia coli (strain K12) (Strain: 68)	83333	"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia"
UP000308840	Escherichia coli (strain K12) (Strain: 69)	83333	"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia"
UP000005640	Homo sapiens (Human)	9606	"Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Mammalia, Eutheria, Euarchontoglires, Primates, Haplorrhini, Catarrhini, Hominidae, Homo"
UP000308576	Homo sapiens (Human)	9606	"Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Mammalia, Eutheria, Euarchontoglires, Primates, Haplorrhini, Catarrhini, Hominidae, Homo"
UP000307385	Homo sapiens (Human)	9606	"Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Mammalia, Eutheria, Euarchontoglires, Primates, Haplorrhini, Catarrhini, Hominidae, Homo"
